num_thread,collaspe,size,cputime,walltime,cache_opt
560,2,1200,16.5507,4.14971,1
570,2,1200,16.5414,4.17064,1
580,2,1200,16.558,4.15177,1
590,2,1200,16.5529,4.14913,1
600,2,1200,16.5,4.13959,1
610,2,1200,16.5448,4.15236,1
620,2,1200,16.5533,4.15122,1
630,2,1200,16.548,4.15201,1
640,2,1200,16.5228,4.15219,1
650,2,1200,16.5571,4.15271,1
660,2,1200,16.5505,4.14952,1
670,2,1200,16.5489,4.15061,1
680,2,1200,16.5533,4.15058,1
690,2,1200,16.5535,4.15268,1
700,2,1200,16.5498,4.16564,1
710,2,1200,16.546,4.16112,1
720,2,1200,16.5424,4.15346,1
730,2,1200,16.5419,4.153,1
740,2,1200,16.5573,4.15321,1
750,2,1200,16.5504,4.15288,1
760,2,1200,16.5475,4.15462,1
770,2,1200,16.5543,4.15176,1
780,2,1200,16.5611,4.15169,1
790,2,1200,16.5479,4.1552,1
800,2,1200,16.5394,4.14836,1
810,2,1200,16.5502,4.1535,1
820,2,1200,16.5487,4.15293,1
830,2,1200,16.5528,4.15362,1
840,2,1200,16.5563,4.15154,1
850,2,1200,16.5435,4.15664,1
1,3,1200,7.93721,7.93796,1
2,3,1200,8.42023,4.21438,1
4,3,1200,16.8182,4.2638,1
6,3,1200,16.708,4.30906,1
8,3,1200,16.9543,4.27214,1
10,3,1200,17.014,4.29498,1
12,3,1200,16.931,4.26603,1
14,3,1200,16.9735,4.29142,1
16,3,1200,17.0279,4.26838,1
18,3,1200,17.0388,4.27616,1
20,3,1200,17.0497,4.27748,1
22,3,1200,17.0387,4.27254,1
24,3,1200,17.0536,4.27817,1
26,3,1200,17.0615,4.34669,1
28,3,1200,16.9895,4.48213,1
30,3,1200,16.913,4.82628,1
30,3,1200,17.0393,4.4037,1
40,3,1200,17.0098,4.4151,1
50,3,1200,17.0274,4.35074,1
60,3,1200,17.0412,4.32853,1
70,3,1200,17.0624,4.37307,1
80,3,1200,17.0464,4.3402,1
90,3,1200,17.0514,4.31602,1
100,3,1200,17.0389,4.33535,1
110,3,1200,17.0957,4.28582,1
120,3,1200,17.0734,4.27752,1
130,3,1200,17.0856,4.29914,1
140,3,1200,17.0998,4.28655,1
150,3,1200,17.0813,4.27969,1
160,3,1200,17.0954,4.28476,1
170,3,1200,17.1005,4.2875,1
180,3,1200,17.098,4.28624,1
190,3,1200,17.0913,4.28472,1
200,3,1200,17.0718,4.28126,1
210,3,1200,17.1054,4.28891,1
220,3,1200,17.095,4.28539,1
230,3,1200,17.0989,4.28691,1
240,3,1200,17.0886,4.28258,1
250,3,1200,17.1097,4.28732,1
260,3,1200,17.1007,4.2848,1
270,3,1200,17.0975,4.30353,1
280,3,1200,17.1016,4.28707,1
290,3,1200,17.1014,4.28636,1
300,3,1200,17.0661,4.27786,1
310,3,1200,17.0947,4.28858,1
320,3,1200,17.0937,4.28571,1
330,3,1200,17.1027,4.28695,1
340,3,1200,17.102,4.28827,1
350,3,1200,17.0915,4.28791,1
360,3,1200,17.0994,4.28527,1
370,3,1200,17.1003,4.2863,1
380,3,1200,17.1007,4.2874,1
390,3,1200,17.1027,4.28936,1
400,3,1200,17.0538,4.29179,1
410,3,1200,17.101,4.29421,1
420,3,1200,17.1054,4.28724,1
430,3,1200,17.1,4.28691,1
440,3,1200,17.0987,4.28684,1
450,3,1200,17.0929,4.29093,1
460,3,1200,17.0988,4.28948,1
470,3,1200,17.1051,4.2899,1
