1,2,200,0.024,0.023
2,2,200,0.012,0.0115
4,2,200,0.007,0.00650001
6,2,200,0.009,0.00750003
8,2,200,0.0075,0.00650005
10,2,200,0.008,0.00750004
20,2,200,0.009,0.00800005
30,2,200,0.0075,0.00699998
40,2,200,0.0075,0.00700006
50,2,200,0.0105,0.00949995
60,2,200,0.01,0.009
70,2,200,0.0235,0.023
80,2,200,0.011,0.00999993
90,2,200,0.0105,0.0100001
100,2,200,0.009,0.00850007
110,2,200,0.009,0.00850002
120,2,200,0.01,0.00850003
130,2,200,0.011,0.01
140,2,200,0.0105,0.00949996
150,2,200,0.0105,0.00949998
160,2,200,0.01,0.00900002
170,2,200,0.011,0.0105
180,2,200,0.011,0.0105001
190,2,200,0.0125,0.0115001
200,2,200,0.011,0.0105001
210,2,200,0.013,0.012
220,2,200,0.013,0.0120001
230,2,200,0.0135,0.013
240,2,200,0.014,0.0135
250,2,200,0.014,0.0135
260,2,200,0.0125,0.012
270,2,200,0.0135,0.0125
280,2,200,0.015,0.014
290,2,200,0.015,0.0140001
300,2,200,0.0155,0.0145
310,2,200,0.0155,0.015
360,2,200,0.0165,0.015
410,2,200,0.02,0.0185
460,2,200,0.0225,0.0220001
510,2,200,0.022,0.021
560,2,200,0.0275,0.0265
610,2,200,0.031,0.03
660,2,200,0.026,0.025
710,2,200,0.0285,0.0279999
760,2,200,0.0285,0.0269999
810,2,200,0.0285,0.028
860,2,200,0.0305,0.0294999
910,
960,
