1,1,1200,10.616,10.615
2,1,1200,4.8705,4.869
4,1,1200,2.6725,2.671
6,1,1200,2.7405,2.7395
8,1,1200,2.6295,2.6285
10,1,1200,2.836,2.835
20,1,1200,2.5445,2.544
30,1,1200,2.576,2.5755
40,1,1200,2.5645,2.564
50,1,1200,2.536,2.534
60,1,1200,2.529,2.5285
70,1,1200,2.4695,2.4685
80,1,1200,2.5115,2.5105
90,1,1200,2.489,2.488
100,1,1200,2.509,2.508
110,1,1200,2.515,2.5095
120,1,1200,2.502,2.501
130,1,1200,2.457,2.456
140,1,1200,2.4325,2.4315
150,1,1200,2.492,2.4915
160,1,1200,2.456,2.4555
170,1,1200,2.442,2.441
180,1,1200,2.4235,2.423
190,1,1200,2.456,2.455
200,1,1200,2.46,2.459
210,1,1200,2.479,2.4775
220,1,1200,2.46,2.4595
230,1,1200,2.4885,2.4865
240,1,1200,2.424,2.423
250,1,1200,2.604,2.603
260,1,1200,2.4465,2.4455
270,1,1200,2.4245,2.4235
280,1,1200,2.3325,2.331
290,1,1200,2.36,2.359
300,1,1200,2.266,2.2645
310,1,1200,2.284,2.283
360,1,1200,2.3195,2.319
410,1,1200,2.2815,2.2805
460,1,1200,2.3205,2.32
510,1,1200,2.281,2.28
610,1,1200,2.3085,2.307
710,1,1200,2.2935,2.292
760,1,1200,2.341,2.3395
810,1,1200,2.3315,2.331
860,
910,
960,
